yyyymm,year,rf,mktrf,smb,hml
192607,1926,0.22,2.96,-2.3,-2.87
192608,1926,0.25,2.64,-1.4,4.19
192609,1926,0.23,0.36,-1.32,0.01
192610,1926,0.32,-3.24,0.04,0.51
192611,1926,0.31,2.53,-0.2,-0.35
192612,1926,0.28,2.62,-0.04,-0.02
192701,1927,0.25,-0.06,-0.56,4.83
192702,1927,0.26,4.18,-0.1,3.17
192703,1927,0.3,0.13,-1.6,-2.67
192704,1927,0.25,0.46,0.43,0.6
192705,1927,0.3,5.44,1.41,4.93
192706,1927,0.26,-2.34,0.47,-1.53
192707,1927,0.3,7.26,-3.23,-1.16
192708,1927,0.28,1.97,-0.72,-3.69
192709,1927,0.21,4.76,-3.57,-0.71
192710,1927,0.25,-4.31,2.13,-4.33
192711,1927,0.21,6.58,2.76,-0.31
192712,1927,0.22,2.09,0.93,-1.06
192801,1928,0.25,-0.68,4.25,-0.72
192802,1928,0.33,-1.7,-2.03,-0.69
192803,1928,0.29,8.81,-0.26,-1.2
192804,1928,0.22,4.23,3.82,3.67
192805,1928,0.32,1.52,2.98,-3.46
192806,1928,0.31,-4.85,-3.5,-0.06
192807,1928,0.32,0.62,-1.35,-0.47
192808,1928,0.32,6.68,-2.07,-2.11
192809,1928,0.27,2.88,2.18,0.76
192810,1928,0.41,1.33,2.27,-2.26
192811,1928,0.38,11.81,-1.81,2.8
192812,1928,0.06,0.36,-0.85,-0.6
192901,1929,0.34,4.66,-3.54,-1.21
192902,1929,0.36,-0.34,-0.39,1.68
192903,1929,0.34,-0.89,-4.78,1.56
192904,1929,0.36,1.43,-0.99,0.61
192905,1929,0.44,-6.39,-5.46,-1.57
192906,1929,0.52,9.7,-2.17,-2.76
192907,1929,0.33,4.46,-3.88,2.66
192908,1929,0.4,8.18,-9.52,0.06
192909,1929,0.35,-5.47,1.17,-0.63
192910,1929,0.46,-20.12,-4.08,7.85
192911,1929,0.37,-12.74,-1.91,5.33
192912,1929,0.37,1.33,-4.2,-0.59
193001,1930,0.14,5.61,3.58,-1.01
193002,1930,0.3,2.5,0.12,0.39
193003,1930,0.35,7.1,3.44,0.15
193004,1930,0.21,-2.06,-0.17,-0.84
193005,1930,0.26,-1.66,-2.04,-0.63
193006,1930,0.27,-16.27,-3.22,2
193007,1930,0.2,4.12,-0.37,-1.56
193008,1930,0.09,0.3,-2.22,-0.78
193009,1930,0.22,-12.75,-2.22,-5.27
193010,1930,0.09,-8.78,-0.1,-1.35
193011,1930,0.13,-3.04,2.21,-3.53
193012,1930,0.14,-7.83,-4.68,-5.39
193101,1931,0.15,6.24,3.81,7.21
193102,1931,0.04,10.88,3.39,1.6
193103,1931,0.13,-6.43,3.07,-3.65
193104,1931,0.08,-9.98,-4.61,-3.92
193105,1931,0.09,-13.24,5.16,-6.57
193106,1931,0.08,13.9,-5.38,11.3
193107,1931,0.06,-6.62,1.43,-2.1
193108,1931,0.03,0.41,-1.97,-1.49
193109,1931,0.03,-29.13,0.56,-6.75
193110,1931,0.1,8.04,-1.87,1.7
193111,1931,0.17,-9.08,4.3,-5.05
193112,1931,0.12,-13.53,-0.56,-8.86
193201,1932,0.23,-1.58,3.94,9.04
193202,1932,0.23,5.46,-2.77,-1.45
193203,1932,0.16,-11.21,2.27,-2.32
193204,1932,0.11,-17.96,1.44,1.42
193205,1932,0.06,-20.51,3.72,-3.28
193206,1932,0.02,-0.7,0.35,5.32
193207,1932,0.03,33.84,-4.44,35.46
193208,1932,0.03,37.06,14.29,33.03
193209,1932,0.03,-2.94,-2.43,-6.82
193210,1932,0.02,-13.17,-2.76,-10.04
193211,1932,0.02,-5.88,2.08,-13.28
193212,1932,0.01,4.4,-8.27,-8.17
193301,1933,0.01,1.25,0.69,6.23
193302,1933,-0.03,-15.24,-2.75,-2.73
193303,1933,0.04,3.29,3.9,7.38
193304,1933,0.1,38.85,4.56,17.43
193305,1933,0.04,21.43,36.7,19.03
193306,1933,0.02,13.11,8.67,-1.88
193307,1933,0.02,-9.63,-1.01,3.27
193308,1933,0.03,12.05,-5.45,2.96
193309,1933,0.02,-10.65,-0.32,-11.77
193310,1933,0.01,-8.36,-0.08,-8.46
193311,1933,0.02,9.97,-6.48,2.33
193312,1933,0.02,1.83,0.66,-1.53
193401,1934,0.05,12.6,12.53,15.54
193402,1934,0.02,-2.5,5.19,2.12
193403,1934,0.02,0.09,2.51,-2.73
193404,1934,0.01,-1.79,2.8,-3.75
193405,1934,0.01,-7.25,-0.26,-5.91
193406,1934,0.01,2.64,-2.14,-2.92
193407,1934,0.01,-10.96,-6.94,-10.66
193408,1934,0.01,5.58,5.42,0.5
193409,1934,0.01,-0.23,-1.52,-1.24
193410,1934,0.01,-1.66,1.24,-5.11
193411,1934,0.01,8.33,6.49,-2.24
193412,1934,0.01,0.36,3.08,-3.17
193501,1935,0.01,-3.45,1.07,-1.89
193502,1935,0.02,-1.94,0.42,-7.24
193503,1935,0.01,-3.68,-3.54,-5.06
193504,1935,0.01,9.06,-1.56,4.27
193505,1935,0.01,3.47,-3.34,2.61
193506,1935,0.01,5.93,-2.51,-1.65
193507,1935,0.01,7.51,1.47,6.86
193508,1935,0.01,2.65,6.28,5.7
193509,1935,0.01,2.63,1.57,-4.05
193510,1935,0.01,7.03,2.65,-2.33
193511,1935,0.02,4.88,4.3,11.91
193512,1935,0.01,4.56,0.22,1.07
193601,1936,0.01,6.89,5.1,10.51
193602,1936,0.01,2.49,1.14,5.04
193603,1936,0.02,0.99,0.66,-1.66
