year,month,ret
2017,9,-0.2521
2017,2,0.0744
2018,12,0.1594
2016,5,0.0435
2016,6,0.0261
2017,8,0.4502
2016,4,0.0606
2018,6,-0.0082
2018,3,-0.0315
2017,12,0.0173
2017,11,0.0357
2016,7,0.0438
2018,5,0.034
2016,9,-0.0282
2017,5,-0.0207
2018,4,-0.0027
2016,10,-0.1296
2017,4,0.08
2017,7,-0.0362
2017,1,0.0069
2016,11,-0.0061
2018,1,-0.0422
2016,3,-0.0114
2017,6,0.1622
2017,10,0.1082
2016,2,0.1838
2016,12,0.0958
2018,10,0.1712
2018,2,-0.0901
2018,11,-0.032
2018,7,-0.0945
2018,8,-0.0493
2018,9,-0.1806
2017,3,0.1102
2016,1,-0.0608
2016,8,0.0609
