year,unemp_rate
1948,0.038
1949,0.059
1950,0.053
1951,0.033
1952,0.03
1953,0.029
1954,0.055
1955,0.044
1956,0.041
1957,0.043
1958,0.068
1959,0.055
1960,0.055
1961,0.067
1962,0.055
1963,0.057
1964,0.052
1965,0.045
1966,0.038
1967,0.038
1968,0.036
1969,0.035
1970,0.049
1971,0.059
1972,0.056
1973,0.049
1974,0.056
1975,0.085
1976,0.077
1977,0.071
1978,0.061
1979,0.058
1980,0.071
1981,0.076
1982,0.097
1983,0.096
1984,0.075
1985,0.072
1986,0.07
1987,0.062
1988,0.055
1989,0.053
1990,0.056
1991,0.068
1992,0.075
1993,0.069
1994,0.061
1995,0.056
1996,0.054
1997,0.049
1998,0.045
1999,0.042
2000,0.04
2001,0.047
2002,0.058
2003,0.06
2004,0.055
2005,0.051
2006,0.046
2007,0.046
2008,0.058
2009,0.093
2010,0.096
2011,0.089
2012,0.081
2013,0.074
2014,0.062
2015,0.053
2016,0.049
2017,0.044
2018,0.039
